Q1,Q2,Q3,Q4,Class
397,358,536,657,ALCHOOL
398,356,534,651,ALCHOOL
399,354,530,642,ALCHOOL
399,353,528,639,ALCHOOL
399,352,526,639,ALCHOOL
400,352,524,635,ALCHOOL
399,349,520,630,ALCHOOL
398,346,517,623,ALCHOOL
397,342,513,618,ALCHOOL
397,341,511,615,ALCHOOL
396,338,508,613,ALCHOOL
396,337,505,609,ALCHOOL
394,334,503,607,ALCHOOL
393,332,499,602,ALCHOOL
392,328,494,595,ALCHOOL
392,327,491,593,ALCHOOL
392,328,491,597,ALCHOOL
392,329,489,597,ALCHOOL
391,327,489,596,ALCHOOL
391,325,488,594,ALCHOOL
389,323,485,590,ALCHOOL
389,324,484,592,ALCHOOL
389,323,483,594,ALCHOOL
390,323,484,594,ALCHOOL
389,322,482,592,ALCHOOL
389,322,482,594,ALCHOOL
388,320,480,593,ALCHOOL
388,318,478,590,ALCHOOL
387,317,477,590,ALCHOOL
387,316,476,586,ALCHOOL
388,325,484,601,ALCHOOL
390,335,496,634,ALCHOOL
390,341,503,651,ALCHOOL
390,344,504,656,ALCHOOL
390,343,501,648,ALCHOOL
390,339,498,634,ALCHOOL
391,343,506,644,ALCHOOL
392,348,514,657,ALCHOOL
392,348,518,657,ALCHOOL
391,341,512,639,ALCHOOL
389,333,504,618,ALCHOOL
388,329,497,608,ALCHOOL
388,329,496,609,ALCHOOL
390,337,502,630,ALCHOOL
390,345,504,647,ALCHOOL
391,350,507,656,ALCHOOL
391,351,510,660,ALCHOOL
391,351,513,660,ALCHOOL
391,350,516,659,ALCHOOL
391,349,516,656,ALCHOOL
389,345,514,653,ALCHOOL
389,344,511,649,ALCHOOL
389,343,510,643,ALCHOOL
390,341,510,637,ALCHOOL
390,341,513,636,ALCHOOL
391,344,515,642,ALCHOOL
390,347,517,649,ALCHOOL
391,347,517,648,ALCHOOL
390,345,515,643,ALCHOOL
389,342,512,635,ALCHOOL
389,339,508,628,ALCHOOL
388,336,504,622,ALCHOOL
388,334,501,619,ALCHOOL
388,333,499,617,ALCHOOL
388,334,497,619,ALCHOOL
389,334,496,621,ALCHOOL
389,335,496,625,ALCHOOL
390,338,496,627,ALCHOOL
389,338,496,629,ALCHOOL
389,337,496,626,ALCHOOL
389,337,499,627,ALCHOOL
389,339,500,628,ALCHOOL
390,338,498,625,ALCHOOL
390,336,496,621,ALCHOOL
389,334,495,618,ALCHOOL
389,332,492,613,ALCHOOL
389,330,489,609,ALCHOOL
388,328,486,605,ALCHOOL
389,327,484,603,ALCHOOL
389,328,483,603,ALCHOOL
389,329,483,608,ALCHOOL
390,332,484,613,ALCHOOL
389,333,485,616,ALCHOOL
390,334,487,618,ALCHOOL
390,336,490,622,ALCHOOL
391,338,494,625,ALCHOOL
392,339,495,627,ALCHOOL
391,339,495,625,ALCHOOL
392,339,494,622,ALCHOOL
392,339,494,621,ALCHOOL
392,340,495,623,ALCHOOL
392,341,497,626,ALCHOOL
393,342,500,633,ALCHOOL
393,344,503,641,ALCHOOL
394,345,505,645,ALCHOOL
393,343,504,644,ALCHOOL
393,342,503,641,ALCHOOL
393,342,504,640,ALCHOOL
393,343,505,643,ALCHOOL
394,347,510,652,ALCHOOL
394,351,514,659,ALCHOOL
394,351,515,656,ALCHOOL
394,348,512,645,ALCHOOL
394,343,507,631,ALCHOOL
393,340,502,622,ALCHOOL
393,340,501,620,ALCHOOL
393,338,499,616,ALCHOOL
392,334,494,608,ALCHOOL
392,332,491,605,ALCHOOL
392,331,489,605,ALCHOOL
392,331,486,606,ALCHOOL
392,330,486,607,ALCHOOL
392,330,486,607,ALCHOOL
392,329,484,605,ALCHOOL
391,327,483,604,ALCHOOL
392,328,481,601,ALCHOOL
392,326,479,598,ALCHOOL
392,325,477,595,ALCHOOL
392,323,473,588,ALCHOOL
391,321,470,581,ALCHOOL
391,319,467,576,ALCHOOL
391,320,467,577,ALCHOOL
391,321,469,582,ALCHOOL
392,321,471,586,ALCHOOL
392,321,470,585,ALCHOOL
392,321,469,586,ALCHOOL
392,321,467,584,ALCHOOL
393,320,465,580,ALCHOOL
392,318,462,576,ALCHOOL
393,318,460,573,ALCHOOL
393,317,458,570,ALCHOOL
393,316,457,568,ALCHOOL
393,315,455,569,ALCHOOL
394,316,454,568,ALCHOOL
394,317,454,570,ALCHOOL
393,316,455,573,ALCHOOL
394,318,457,578,ALCHOOL
394,320,458,582,ALCHOOL
394,319,457,581,ALCHOOL
394,319,456,580,ALCHOOL
394,318,455,579,ALCHOOL
394,317,454,577,ALCHOOL
394,316,453,574,ALCHOOL
393,315,452,572,ALCHOOL
393,314,452,574,ALCHOOL
393,314,452,575,ALCHOOL
393,314,451,575,ALCHOOL
394,318,452,583,ALCHOOL
394,319,451,586,ALCHOOL
393,317,449,580,ALCHOOL
392,314,448,573,ALCHOOL
392,312,445,566,ALCHOOL
391,311,444,564,ALCHOOL
392,311,444,564,ALCHOOL
392,312,446,567,ALCHOOL
392,313,448,573,ALCHOOL
392,312,449,575,ALCHOOL
392,312,448,572,ALCHOOL
392,311,446,568,ALCHOOL
392,310,445,567,ALCHOOL
392,310,443,566,ALCHOOL
392,310,443,565,ALCHOOL
392,309,441,564,ALCHOOL
392,309,441,563,ALCHOOL
391,308,440,562,ALCHOOL
392,308,441,563,ALCHOOL
392,311,447,572,ALCHOOL
392,314,453,582,ALCHOOL
392,315,456,587,ALCHOOL
392,315,456,586,ALCHOOL
392,314,454,581,ALCHOOL
392,312,451,575,ALCHOOL
391,310,450,572,ALCHOOL
391,309,449,572,ALCHOOL
391,309,448,571,ALCHOOL
391,309,447,568,ALCHOOL
391,308,444,565,ALCHOOL
391,309,444,566,ALCHOOL
392,311,445,571,ALCHOOL
392,312,446,576,ALCHOOL
392,313,448,580,ALCHOOL
393,313,448,580,ALCHOOL
393,313,447,579,ALCHOOL
393,313,447,578,ALCHOOL
392,311,448,582,ALCHOOL
392,311,448,580,ALCHOOL
391,310,447,577,ALCHOOL
391,310,446,575,ALCHOOL
390,309,445,573,ALCHOOL
391,310,443,570,ALCHOOL
393,312,443,569,ALCHOOL
392,312,444,571,ALCHOOL
392,313,445,573,ALCHOOL
393,316,447,581,ALCHOOL
393,318,448,586,ALCHOOL
393,318,448,585,ALCHOOL
393,318,448,584,ALCHOOL
393,318,448,586,ALCHOOL
393,318,448,590,ALCHOOL
393,320,450,593,ALCHOOL
393,319,449,588,ALCHOOL
393,317,448,581,ALCHOOL
392,314,448,576,ALCHOOL
391,312,445,569,ALCHOOL
391,312,444,569,ALCHOOL
391,312,444,570,ALCHOOL
391,312,443,570,ALCHOOL
